menu_start_game_0|Merhaba yabancı, Mount&Blade Warband'e hoşgeldin. Oyuna başlamadan önce, bir karakter yaratman gerekiyor. Karakterini yaratırken yapacağın tercihler karakterinin başlangıçtaki becerilerini belirleyeceği gibi, oyunda karşılaşacağın güçlükleri de etkiler.
mno_continue|Devam...
mno_go_back|Geri dön
menu_start_phase_2|Kalradya adındaki diyar hakkında hikayeler anlatıp dururlar. Krallıklar arasındaki savaşlar yüzünden paramparça bölünmüş, fırsatçıları, şövalyeleri, maceracıları ve haydutları kendisine çekip onlara büyük tehlikelerle birlikte büyük fırsatlar da sunan bu ülkede belki sen de geçmişini ardında bırakıp yepyeni bir hayata başlayabilirsin. Bu yeni ülkede özgür olacağını ve seçtiğin yol her ne olursa olsun büyük maceraların seni bekliyor olacağını hissediyorsun. Bir gün, Kalradya ve krallıkları ile ilgili anlatılagelen olağanüstü hikayelerin etkisinde kalarak...
mno_town_1|Svadya Krallığı'nın Praven şehrine giden bir kervana katıldın.
mno_town_2|Vaegir Krallığı'nın Reyvadin şehrine giden bir kervana katıldın.
mno_town_3|Kergit Hanlığı'nın Tulga şehrine giden bir kervana katıldın.
mno_town_4|Nord Krallığı'nın Sargoth şehrine giden bir gemiye bindin.
mno_town_5|Rodok Krallığı'nın Jelkala şehrine giden bir gemiye bindin.
mno_town_6|Sarranid Sultanlığı'nın Shariz şehrine giden bir kervana katıldın.
menu_start_game_3|Senaryo seç
mno_go_back|Geri dön
menu_tutorial|Yerel sakinlerin silah talimi yaptığı bir alana yaklaşıyorsun. Burada savaş becerilerini geliştirebilirsin.
mno_continue|Devam...
mno_go_back_dot|Geri dön.
menu_reports|Hangi raporu görüntülemek istiyorsun?
mno_view_character_report|Karakter raporunu görüntüle.
mno_view_party_size_report|Grup büyüklüğü raporunu görüntüle.
mno_view_npc_mission_report|Yoldaşların görev raporlarını görüntüle.
mno_view_weekly_budget_report|Haftalık bütçe raporunu görüntüle.
mno_view_morale_report|Grup morali raporunu görüntüle.
mno_lord_relations|Tanınan lordların ilişkiye göre sıralamasını görüntüle.
mno_courtship_relations|Soylularla ilişkilerini incele.
